controller,scenario,repetitions,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,tail_oscillation,sensor_substitution_rate,substitution_fraction,recovery_events,false_recovery_events,sensor_recovery_latency_s,medium_mode_fraction,high_mode_fraction,safety_events,RMSE_std,MAE_std,IAE_std,ISE_std,max_abs_error_std,overshoot_percent_std,settling_time_s_std,recovery_time_s_std,fault_interval_RMSE_std,fault_interval_IAE_std,fault_interval_ISE_std,fault_interval_peak_error_std,control_effort_sum_u2_std,control_variation_sum_du2_std,constraint_violations_std,voltage_violations_std,rate_violations_std,nonfinite_events_std,optimizer_failures_std,average_solve_ms_std,p95_solve_ms_std,max_solve_ms_std,tail_oscillation_std,sensor_substitution_rate_std,substitution_fraction_std,recovery_events_std,false_recovery_events_std,sensor_recovery_latency_s_std,medium_mode_fraction_std,high_mode_fraction_std,safety_events_std
A_PI,bias_15,5,12.891903429058436,9.289520697963823,55.65451956518781,992.7451896327641,35.062866971588775,19.066119240028957,4.768,0.7680000000000001,10.804765656521983,19.401673506720616,232.89393625894053,14.90259691810158,5899.4392960582745,39.68834491148154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.062452569062562,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01575179492182514,0.01068846944940367,0.06431133631704583,2.4399621513252523,0.0,0.2211633360174395,0.5154803585006903,0.5154803585006902,0.07634348828400654,0.12672419991576028,3.293795872609777,0.14627763327931592,13.80607671966076,0.7837876083887723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12139022860273321,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,bias_5,5,11.435700254285315,6.818137786041777,40.79997017437439,779.8341271577613,35.062866971588775,18.9576231235075,4.164,0.16400000000000006,4.994711227802247,9.139798545074095,49.722554303986314,7.143120458672849,5874.187234236049,30.113235535091764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.091306297325933,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01317234503214805,0.020589021134481123,0.12364880458802065,1.8093733632455757,0.0,0.0709273977572714,0.01140175425099112,0.011401754250991138,0.031490101165994856,0.05372737520442016,0.6276353547736586,0.06313456663202931,9.077622588016974,0.7317518887270935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19532935538464502,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,changing_reference,5,9.705788057104641,7.736266487122879,46.39345101802706,564.1614575303463,20.062866971588775,52.26347051871835,,,9.705788057104641,46.39345101802706,564.1614575303463,20.062866971588775,5734.647692844535,43.95532675724045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.603548563071653,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03532537231761714,0.03616456314212259,0.21717568877491802,4.122374812629355,0.0,0.3565436371591268,,,0.03532537231761714,0.21717568877491802,4.122374812629355,0.0,7.40958541130114,0.49257620275379754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0907010048268669,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,combined_fault_load,5,11.569400936703932,7.354199464689737,44.00577064154148,798.2563140071554,35.062866971588775,18.934167719514786,2.322,1.7580000000000002,4.649877802167022,12.237556627167908,64.97984183449621,7.897444146481372,7555.971716133829,28.15995935673815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.243294915857214,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.015544940464971835,0.03937327371102096,0.23674998828915148,2.1621282330175555,0.0,0.2767157853072106,0.004472135954999633,0.03633180424916991,0.03623991600865977,0.14369725656777005,1.0141608649088276,0.06842452407315389,6.853081157735492,0.5250066503168483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16269270475818753,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,load_disturbance,5,11.283540683215893,6.437026721913544,38.50824698883978,759.0564110391211,35.062866971588775,19.100718474307325,2.328,1.076,2.872390514225463,6.6714614042504135,24.79647640266441,5.665898260272843,8176.688163178919,27.449726707264034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4560730196821026,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011987985926114088,0.025337627632191648,0.1520331231495955,1.626207105668805,0.0,0.17052696837192477,0.010954451150103387,0.008944271909998983,0.03363681568050565,0.12033851292989341,0.5788939846181425,0.051087352235121695,11.034138258511991,0.25976611364652546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1897394525221258,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,nominal_tracking,5,11.134484365088007,5.761499914885436,34.450273437091404,738.975301365021,35.062866971588775,19.102676087354403,2.332,2.332,11.134484365088007,34.450273437091404,738.975301365021,35.062866971588775,5985.220058966276,25.952540591308768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6616999079636343,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00983926277120895,0.015602371711601112,0.09342129962128501,1.3166643385075982,0.0,0.16342444593423314,0.008366600265340656,0.008366600265340656,0.00983926277120895,0.09342129962128501,1.3166643385075982,0.0,5.825341351641672,0.20841445762355978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07775260731030212,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,parameter_variation,5,11.200798782446714,6.178183195669047,36.95286185326179,747.8756024462602,35.062866971588775,19.14953790528179,2.332,1.2080000000000002,2.090135968146905,5.077411559686429,13.112627103439655,3.647582105624984,7821.639856433675,26.538338785257338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3824552920333801,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010075057348506708,0.02396779753467525,0.14414171437384662,1.3563952205677927,0.0,0.2064816171096847,0.004472135954999472,0.01788854381999821,0.039161493533309354,0.08161814395023345,0.49005487592427804,0.06639246870544621,12.211866730612776,0.6326615368199515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530749093078821,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,sensor_drift,5,11.887978531868953,8.235258510924217,49.272700786125476,842.8069055881572,35.062866971588775,19.16031896933251,2.318,0.3179999999999999,5.362969319626841,19.647589317510345,114.77668802044892,9.24057290581265,5048.972686592948,26.02072205056395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9509412034671163,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01739545117544024,0.03303950078040383,0.1981027179711105,2.4766390210493556,0.0,0.25693773613148113,0.0044721359549995034,0.004472135954999479,0.05517827405005665,0.17644831763632832,2.365547123450628,0.11198614470932154,6.131913160865911,0.45645869053028226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12518123954407756,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,sensor_dropout,5,19.127474321900074,15.56450892484061,93.34199557009707,2192.56769606684,35.062866971588775,94.26106728526376,,,20.005464864901835,35.13257294600301,795.1323176766375,32.15854986334689,9712.485204347837,65.83175066261826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.278240103244661,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03095171026508959,0.049535775123991994,0.29737980671299163,7.112273432911552,0.0,0.08044125541183732,,,0.05154980878070618,0.14523173235420775,4.106566097631209,0.031867048950160466,15.57566658967587,0.21487162719750952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10473247964041754,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,sensor_noise,5,11.124370671116775,5.709201448484681,34.13600482865159,737.624883748643,35.062866971588775,19.183325957537477,2.348,0.10400000000000009,2.1371884010000226,3.465517618911177,9.072908943092646,5.321345657697952,6021.753058456144,61.45579904246665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861088466829685,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02540579382059376,0.2218976657492171,1.3329132554333418,3.3987756175097315,0.0,0.3449089433804876,0.02049390153191918,0.23255106965997835,0.2313688382767181,0.5811034479837689,1.9342837469350767,0.09017153052749229,51.76699072435435,8.011014855121154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38141687675516334,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
A_PI,step_reference,5,7.20250527622778,4.64235938445762,27.79847258073597,309.7749780494703,20.062866971588775,10.159701639346384,0.8560000000000001,0.8560000000000001,7.20250527622778,27.79847258073597,309.7749780494703,20.062866971588775,6157.745958331606,27.888940256334898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8649095969240506,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011687178291432907,0.017680788104817702,0.10627833944335122,1.0116318758574971,0.0,0.22920142535704577,0.00894427190999915,0.00894427190999915,0.011687178291432907,0.10627833944335122,1.0116318758574971,0.0,5.122220352698662,0.5095817129728367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03735184170266188,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
B_plain_MPC,bias_15,5,11.862934852367125,7.395916839661969,44.273807715416496,839.6641547725224,35.062866971591575,8.43839848499211,1.558,0.6380000000000001,7.682114952247434,13.701104930591526,117.69590269218236,10.373279517082759,6677.531792503525,230.44496654390895,0.0,0.0,0.0,0.0,0.0,65.5463907436765,121.62888000020757,153.4485800017137,1.4802554327245303,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03711209244777298,0.08290307725615048,0.4981664911272847,5.291884290197793,4.836690550471518e-12,0.955470651727511,0.03420526275297417,0.20849460424672878,0.19297608934867475,0.598340291842897,5.914721373848363,0.3629722726549031,179.71081627526502,19.187122070556676,0.0,0.0,0.0,0.0,0.0,7.7610020140375635,14.389086846726913,9.846998546400853,0.5777236504848221,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
